formula,mpid,spacegroup.symbol,nature of band gap
BaSiO3,mp-1016821,Pm-3m,0
CaHfO3,mp-1016873,Pm-3m,0
CdSiO3,mp-1016879,Pm-3m,0
CaGeO3,mp-1016884,Pm-3m,0
CdGeO3,mp-1016903,Pm-3m,0
BaZrO3,mp-1019544,I4/mcm,0
CeAsO3,mp-1078398,P2_1/m,0
CaCO3,mp-1079918,P-1,0
CaBO3,mp-1084760,P2_1/m,0
BaSnO3,mp-1178513,Imma,1
AlRhO3,mp-1178547,P6_3/mmc,0
AlVO3,mp-1178549,R-3,0
AgClO3,mp-1178561,R3m,0
AgBrO3,mp-1178562,R3m,0
AgAsO3,mp-1178563,R-3,1
AlCoO3,mp-1178576,R-3,0
AlFeO3,mp-1178577,R-3,0
AlCuO3,mp-1178579,R-3,0
BaClO3,mp-1182337,P1,0
AcBO3,mp-1183052,Pm-3m,0
AcGaO3,mp-1183053,Pm-3m,0
AcAlO3,mp-1183115,Pm-3m,1
AlSbO3,mp-1183134,Pm-3m,1
AcScO3,mp-1183152,Pm-3m,1
BSbO3,mp-1183211,Pm-3m,1
BeSiO3,mp-1183445,Pm-3m,0
CeBeO3,mp-1183685,Pm-3m,0
CaCO3,mp-1194399,C2/c,0
BaMnO3,mp-1205336,P6_3mc,1
CaTiO3,mp-1205364,Cmcm,0
BaCO3,mp-1227982,R32,0
BaSiO3,mp-12958,R-3m,0
CdGeO3,mp-13003,Pnma,1
BaGeO3,mp-13863,P2_12_12_1,0
CaTeO3,mp-17008,P2_1,0
CaSiO3,mp-17552,C2/c,0
CaGeO3,mp-17761,P-1,0
BaSiO3,mp-18407,P6_3/mmc,1
CdSO3,mp-18634,R-3,0
AgPO3,mp-18702,P2_1/c,0
BaMnO3,mp-18840,R-3m,0
BaNiO3,mp-19138,P6_3/mmc,0
CaMnO3,mp-19201,Pnma,1
BaNiO3,mp-19241,P6_3mc,0
BaMnO3,mp-19267,P6_3cm,0
CaPbO3,mp-20079,Pnma,0
CeBO3,mp-20178,P2_1/m,0
BaPbO3,mp-20461,C2/m,0
CaCrO3,mp-20772,Pnma,0
CeBO3,mp-20882,Pnma,0
BaPbO3,mp-20991,I4/mcm,0
AlFeO3,mp-21216,Pna2_1,0
BaPbO3,mp-22230,Imma,0
CaVO3,mp-22608,Pnma,0
AlBiO3,mp-23080,Pm-3m,0
BaBiO3,mp-23482,R-3,0
AgIO3,mp-27384,Pca2_1,0
AgClO3,mp-27941,I4/m,0
CdTeO3,mp-28290,P2_1/c,0
CdGeO3,mp-2951,C2/c,0
BrNO3,mp-29526,P2_12_12_1,0
CaTeO3,mp-2981,P-1,0
BaTiO3,mp-2998,Pm-3m,0
BiBO3,mp-31250,P2_1/c,0
BaSnO3,mp-3163,Pm-3m,0
BaCeO3,mp-3187,Pnma,1
CaCO3,mp-3205,Pmmn,0
BaCeO3,mp-3316,Imma,0
CaSiO3,mp-3382,P4/mbm,0
CaSiO3,mp-3387,I4/mcm,1
BaCO3,mp-34195,P2_1/m,0
CaTiO3,mp-3442,I4/mcm,0
BaMnO3,mp-35078,P6_3/mmc,1
BaZrO3,mp-3834,Pm-3m,0
CaCO3,mp-3953,R-3c,0
CaTiO3,mp-4019,Pnma,1
CaSnO3,mp-4190,R-3,0
CaSiO3,mp-4356,Im-3,0
CdCO3,mp-4385,R-3c,0
CaSiO3,mp-4428,P-1,1
CaSiO3,mp-4429,P-1,0
CaSnO3,mp-4438,Pnma,0
BaCO3,mp-4559,R3m,0
CaZrO3,mp-4571,Pnma,1
CaCO3,mp-4626,Pnma,0
CaPtO3,mp-4784,Cmcm,0
CaSiO3,mp-4853,I4/mmm,0
BaCeO3,mp-4900,R-3c,1
BaTiO3,mp-5020,R3m,0
CaSiO3,mp-5096,Imma,1
CeAlO3,mp-5323,Pm-3m,0
AgSbO3,mp-540872,Fd-3m,0
CaZrO3,mp-542112,Pm-3m,0
BaTeO3,mp-5431,P2_1/m,0
BaCO3,mp-545643,P6_3/mmc,0
AgSbO3,mp-545999,R-3,1
CaCO3,mp-548403,C222_1,0
BaCO3,mp-5504,Pnma,0
AlBiO3,mp-551918,R3c,0
AgNO3,mp-552185,R3c,0
CaCO3,mp-553939,Pnma,1
CaGeO3,mp-554549,I4_1/a,0
CaTiO3,mp-556003,Imma,0
BaTeO3,mp-556021,Pnma,1
CaCO3,mp-556235,P2_1/c,0
BaMnO3,mp-557535,P6_3/mmc,0
CaSeO3,mp-557997,P2_1/c,0
BaTiO3,mp-558125,C222_1,1
AgTeO3,mp-558637,P2_1/c,0
AgAsO3,mp-558950,Pca2_1,1
BaBiO3,mp-559051,P2_1/c,0
CdSeO3,mp-559203,P2_1/c,1
AgTeO3,mp-559257,P2_1/c,0
CaTeO3,mp-560097,P2_1/c,1
CaCO3,mp-560265,P6_522,0
CdSiO3,mp-560560,P2_1/c,0
CaTeO3,mp-560656,P4_3,0
CaSiO3,mp-560885,Pnma,1
CaSiO3,mp-561086,C2/c,1
CaTeO3,mp-561374,P1,0
CaCO3,mp-561412,C2,0
AgTeO3,mp-561489,P2_1/m,0
BaCeO3,mp-5663,Pm-3m,0
BiRhO3,mp-573119,Pnma,0
BaTiO3,mp-5777,Amm2,0
CaTiO3,mp-5827,Pm-3m,0
CaSiO3,mp-5893,Pm-3m,0
BaTiO3,mp-5933,P6_3/mmc,1
BaTiO3,mp-5986,P4mm,0
CaMoO3,mp-607467,P2_1/c,1
AgNO3,mp-638686,Pbca,1
BaTiO3,mp-644497,Amm2,1
CaSiO3,mp-649676,P2_1/c,0
BaCO3,mp-674478,R-3c,0
BaMnO3,mp-675227,R-3m,0
BaCO3,mp-675324,Pnn2,1
BaCO3,mp-676020,C2/m,0
BaGeO3,mp-676865,P1,0
CdPbO3,mp-685257,Ibca,0
CdGeO3,mp-685935,Cmc2_1,0
CaCO3,mp-696740,C2/c,0
BaSeO3,mp-6989,P2_1/m,1
BaSiO3,mp-7339,P2_12_12_1,0
CdCoO3,mp-752746,Pnma,0
BSbO3,mp-753806,P-1,0
CaNiO3,mp-754103,P6_3mc,0
CaSeO3,mp-754140,Pnma,0
AlInO3,mp-754157,P6_3/mmc,0
CdSnO3,mp-754329,R-3,0
CaTiO3,mp-754701,R-3,1
CaHfO3,mp-754853,Pnma,1
AsAuO3,mp-755240,C2/c,0
BiSbO3,mp-755382,R-3,0
CdBiO3,mp-755478,R3,0
BSbO3,mp-755829,C2/c,0
CeFeO3,mp-756062,Pnma,0
CaCeO3,mp-756365,Pnma,1
AlGaO3,mp-756686,Pnma,1
AlCoO3,mp-756947,C2/c,0
CdGeO3,mp-7588,I4_1/a,0
BaCO3,mp-762225,P2_1,0
BaSO3,mp-768307,P2_1/m,0
AlTlO3,mp-768539,Pnma,1
CdCoO3,mp-768578,C2/c,0
AlGaO3,mp-772187,Pna2_1,0
AlGaO3,mp-772898,Pna2_1,1
AgClO3,mp-775761,P2_13,0
AgPO3,mp-775762,P2_1/c,0
AlBiO3,mp-775763,P2_1/c,0
AgAsO3,mp-775767,C2/c,0
CdSiO3,mp-776023,Pbcn,1
CaZrO3,mp-776024,Pba2,1
CaGeO3,mp-776074,C2/c,0
BaSiO3,mp-776076,P2_1/c,0
BaSiO3,mp-776084,C2/c,0
CaGeO3,mp-776086,P-1,1
AlFeO3,mp-776154,Pnma,0
AgAuO3,mp-776165,Fd-3m,0
AlCuO3,mp-776172,P2_1/c,0
AgClO3,mp-776199,P2_1/c,1
CeNiO3,mp-776207,Pnma,0
CaSnO3,mp-7986,Pm-3m,0
BaThO3,mp-8037,Pm-3m,1
AlBO3,mp-8110,R-3c,0
CaGeO3,mp-8130,Pnma,0
AgNO3,mp-8196,R3m,0
CdGeO3,mp-8275,R-3,0
AgIO3,mp-849271,Pnma,0
CdSnO3,mp-849371,Pnma,1
CdSO3,mp-8516,P2_1/c,0
AcFeO3,mp-861502,Pm-3m,0
AcCrO3,mp-866101,Pm-3m,0
AgSbO3,mp-867583,C2,0
CaBiO3,mp-867749,R-3,0
CdSeO3,mp-9186,Pnma,0
BaHfO3,mp-998552,Pm-3m,0
CaVO3,mvc-13158,P2_1/c,0
AlBiO3,mvc-13972,P6_3/mmc,0
CaMoO3,mvc-16572,P-1,0
AlWO3,mvc-4004,Pnma,1
HfMgO3,mp-1016825,Pm-3m,0
CsSO3,mp-1068320,R3m,0
FeBiO3,mp-1069079,P4mm,0
GaBO3,mp-1078259,R-3c,1
ErBO3,mp-10791,P-1,0
DyBO3,mp-10792,P-1,0
HgSeO3,mp-10798,P2_1/c,0
KIO3,mp-1080058,R3c,1
CsNbO3,mp-1096944,Pm-3m,1
InRhO3,mp-1105819,Pnma,1
KCO3,mp-1105868,P2_1/c,1
KCO3,mp-1106094,P2_1/c,0
GdCrO3,mp-1147577,Pm-3m,0
HoBiO3,mp-1178162,R3c,0
FeSnO3,mp-1178212,P-1,0
GdAlO3,mp-1178268,Pm-3m,0
CuAsO3,mp-1178368,Pmma,0
CoSbO3,mp-1183681,Pm-3m,0
DyInO3,mp-1183823,Pm-3m,0
ErAlO3,mp-1184150,Pm-3m,0
ErGaO3,mp-1184164,Pm-3m,0
GdErO3,mp-1184486,Pm-3m,0
HoBO3,mp-1184546,Pm-3m,0
HfBeO3,mp-1184563,Pm-3m,0
HoErO3,mp-1184778,Pm-3m,1
CsTaO3,mp-1185552,Pm-3m,1
CoBiO3,mp-1188346,Pnma,0
ErNiO3,mp-1189736,P2_1/c,0
KAsO3,mp-1192552,P-1,1
HoMnO3,mp-1193069,Cmc2_1,0
ErBO3,mp-1194043,C2/c,0
KIO3,mp-1200675,R3,1
KIO3,mp-1223446,R3,0
GdBO3,mp-1224628,Ama2,0
CrWO3,mp-1226283,R3,0
DyBO3,mp-12315,P-1,1
CuSiO3,mp-16053,Pmma,0
FeSiO3,mp-18269,C2/c,0
GdCrO3,mp-18331,Pnma,1
GdGaO3,mp-18656,Pnma,0
HoVO3,mp-19024,Pnma,0
HoMnO3,mp-19056,P6_3cm,1
ErCrO3,mp-19063,Pnma,0
FeBO3,mp-19097,R-3c,0
ErVO3,mp-19205,Pnma,0
ErMnO3,mp-19319,Pnma,1
DyCrO3,mp-19381,Pnma,0
HoFeO3,mp-19785,Pnma,0
ErFeO3,mp-19935,Pnma,1
HoCoO3,mp-20570,Pnma,0
HoMnO3,mp-22081,Pnma,1
DyMnO3,mp-22103,Pnma,0
DyCoO3,mp-22137,Pnma,0
DyFeO3,mp-22283,Pnma,1
FeGeO3,mp-22334,C2/c,0
CuSeO3,mp-22414,Pnma,1
HfPbO3,mp-22535,Pm-3m,0
CoSeO3,mp-22616,Pnma,0
CsNO3,mp-22628,Pmmn,1
CuSeO3,mp-22688,Pbca,0
HfPbO3,mp-22734,Pbam,1
DyVO3,mp-22789,Pnma,0
FeBiO3,mp-22949,R3m,0
KBrO3,mp-22958,R3m,1
GaBiO3,mp-22979,Pm-3m,0
KClO3,mp-23022,P2_1/m,0
CrBiO3,mp-23456,C2/c,1
KIO3,mp-23487,P1,1
FeBiO3,mp-23501,R3c,0
HIO3,mp-23963,P2_12_12_1,0
CsNbO3,mp-27556,P2_1/c,0
HgBrO3,mp-27994,C2/c,0
CsIO3,mp-28295,Pmn2_1,1
HgTeO3,mp-28318,P-1,0
CsBrO3,mp-28873,R3m,1
GdBO3,mp-29762,R32,0
KBiO3,mp-29799,Pn-3,1
HgAsO3,mp-30284,P-31m,1
HgClO3,mp-30937,P2_1/c,0
DyScO3,mp-31120,Pnma,1
HoScO3,mp-31121,Pnma,1
KCO3,mp-31302,P2_1/c,0
CuTeO3,mp-4320,Pnma,0
HoAlO3,mp-4891,Pnma,1
CsVO3,mp-504651,Pbcm,0
GdAlO3,mp-5223,Pnma,0
FeSO3,mp-540655,R-3,0
GdVO3,mp-541177,Pnma,1
HgNO3,mp-542289,P2_1,0
DyMnO3,mp-542479,P6_3cm,0
InBiO3,mp-545379,Pm-3m,0
CrBiO3,mp-546027,R3c,0
