formula,mpid,spacegroup.symbol,nature of band gap,structure,mean absolute deviation in relative bond length,max relative bond length,minimum neighbor distance variation,maximum neighbor distance variation,avg_dev neighbor distance variation,composition,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,range Number,range AtomicRadius,range Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons
BaSiO3,mp-1016821,Pm-3m,0,"Full Formula (Ba1 Si1 O3)
Reduced Formula: BaSiO3
abc   :   3.836937   3.836937   3.836937
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ba    0    0    0           0
  1  Si    0.5  0.5  0.5         0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5        -0",0.084157582,1.116671577,0,0.12240775,0.05875572,Ba1 Si1 O3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.68214,12.8,48,1.55,2.55,2,2.8,0,0,0.416666667
CaHfO3,mp-1016873,Pm-3m,0,"Full Formula (Ca1 Hf1 O3)
Reduced Formula: CaHfO3
abc   :   4.105097   4.105097   4.105097
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ca    0    0    0          -0
  1  Hf    0.5  0.5  0.5         0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5         0",0.084157582,1.116671577,0,0.12240775,0.05875572,Ca1 Hf1 O3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.31324,10.8,64,1.2,2.44,2,2.4,0.4,2.8,0.263157895
CdSiO3,mp-1016879,Pm-3m,0,"Full Formula (Cd1 Si1 O3)
Reduced Formula: CdSiO3
abc   :   3.619920   3.619920   3.619920
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Cd    0    0    0           0
  1  Si    0.5  0.5  0.5         0
  2  O     0.5  0.5  0           0
  3  O     0.5  0    0.5         0
  4  O     0    0.5  0.5         0",0.084157582,1.116671577,0,0.12240775,0.05875572,Cd1 Si1 O3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.69894,14.8,40,0.95,1.75,2,2.8,2,0,0.294117647
CaGeO3,mp-1016884,Pm-3m,0,"Full Formula (Ca1 Ge1 O3)
Reduced Formula: CaGeO3
abc   :   3.783237   3.783237   3.783237
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ca    0    0    0          -0
  1  Ge    0.5  0.5  0.5         0
  2  O     0.5  0.5  0          -0
  3  O     0.5  0    0.5        -0
  4  O     0    0.5  0.5        -0",0.084157582,1.116671577,0,0.12240775,0.05875572,Ca1 Ge1 O3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14324,12.8,24,1.2,2.44,2,2.8,2,0,0.294117647
CdGeO3,mp-1016903,Pm-3m,0,"Full Formula (Cd1 Ge1 O3)
Reduced Formula: CdGeO3
abc   :   3.782490   3.782490   3.782490
angles:  90.000000  90.000000  90.000000
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Cd    0    0    0          -0
  1  Ge    0.5  0.5  0.5        -0
  2  O     0.5  0.5  0           0
  3  O     0.5  0    0.5         0
  4  O     0    0.5  0.5         0",0.084157582,1.116671577,1.17E-16,0.12240775,0.05875572,Cd1 Ge1 O3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.60984,14.8,40,0.95,1.75,2,2.8,4,0,0.227272727
BaZrO3,mp-1019544,I4/mcm,0,"Full Formula (Ba2 Zr2 O6)
Reduced Formula: BaZrO3
abc   :   6.016801   6.016801   6.016801
angles: 120.222337 120.222337  89.615331
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.75      0.25      0.5              0
  1  Ba    0.25      0.75      0.5              0
  2  Zr    0         0         0               -0
  3  Zr    0.5       0.5       0               -0
  4  O     0.75      0.75      0               -0
  5  O     0.25      0.25      0               -0
  6  O     0.227213  0.727213  0.954425         0
  7  O     0.772787  0.272787  0.045575         0
  8  O     0.727213  0.772787  0.5              0
  9  O     0.272787  0.227213  0.5              0",0.083210861,1.111025443,0.001144788,0.122731434,0.051168741,Ba1 Zr1 O3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.30984,10.8,48,1.55,2.55,2,2.4,0.4,0,0.416666667
CeAsO3,mp-1078398,P2_1/m,0,"Full Formula (Ce2 As2 O6)
Reduced Formula: CeAsO3
abc   :   5.329352   4.409537   6.185940
angles:  74.674319  90.000000  90.000000
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ce    0.75      0.663047  0.70201      0.95
  1  Ce    0.25      0.336953  0.29799      0.95
  2  As    0.75      0.920552  0.141417     0.002
  3  As    0.25      0.079448  0.858583     0.002
  4  O     0.75      0.336315  0.115495    -0.004
  5  O     0.25      0.663685  0.884505    -0.004
  6  O     0.500903  0.805164  0.344547    -0.004
  7  O     0.000903  0.194836  0.655453    -0.005
  8  O     0.499097  0.194836  0.655453    -0.004
  9  O     0.999097  0.805164  0.344547    -0.005",0.037798808,1.061226906,0.053151048,0.263746952,0.052428693,Ce1 As1 O3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.60716,13.2,50,1.25,2.32,2,3,2.2,0.2,0.27027027
CaCO3,mp-1079918,P-1,0,"Full Formula (Ca2 C2 O6)
Reduced Formula: CaCO3
abc   :   3.830029   5.122982   6.641266
angles:  95.211311 105.685595  90.601300
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.608636  0.314606  0.257693         0
  1  Ca    0.391364  0.685394  0.742307         0
  2  C     0.984614  0.206706  0.754269         0
  3  C     0.015386  0.793294  0.245731         0
  4  O     0.807215  0.382444  0.638922         0
  5  O     0.192785  0.617556  0.361078         0
  6  O     0.880559  0.962384  0.718219         0
  7  O     0.119441  0.037616  0.281781         0
  8  O     0.276445  0.285224  0.897971         0
  9  O     0.723555  0.714776  0.102029         0",0.108834333,1.083599054,0.057121981,0.38215859,0.077779406,Ca1 C1 O3,0,0,0,0,0,0.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.01738,12.8,14,1.2,2.44,2,2.8,0,0,0.416666667
CaBO3,mp-1084760,P2_1/m,0,"Full Formula (Ca2 B2 O6)
Reduced Formula: CaBO3
abc   :   5.479484   3.673378   6.634696
angles:  86.499546  90.000000  90.000000
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.25      0.259533  0.82531      0.001
  1  Ca    0.75      0.740467  0.17469      0.001
  2  B     0.25      0.266626  0.277014     0.023
  3  B     0.75      0.733374  0.722986     0.023
  4  O     0.25      0.35308   0.473351    -0.5
  5  O     0.75      0.64692   0.526649    -0.5
  6  O     0.468448  0.234959  0.177735    -0.172
  7  O     0.968448  0.765041  0.822265    -0.174
  8  O     0.531552  0.765041  0.822265    -0.172
  9  O     0.031552  0.234959  0.177735    -0.174",0.097830652,1.142588735,0.040578134,0.377617944,0.078904727,Ca1 B1 O3,0,0,0,0,0.2,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.77744,12.6,15,1.2,2.44,2,2.6,0,0,0.434782609
BaSnO3,mp-1178513,Imma,1,"Full Formula (Ba2 Sn2 O6)
Reduced Formula: BaSnO3
abc   :   5.923235   5.923235   5.923235
angles: 120.005414 119.855020  90.120959
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.249983  0.75      0.499983         0
  1  Ba    0.750017  0.25      0.500017         0
  2  Sn    0         0         0               -0
  3  Sn    0.5       0.5       0               -0
  4  O     0.765463  0.265463  0                0
  5  O     0.234537  0.734537  0                0
  6  O     0.726054  0.75      0.976054         0
  7  O     0.765463  0.765463  0.5              0
  8  O     0.234537  0.234537  0.5              0
  9  O     0.273946  0.25      0.023946         0",0.083451668,1.11231712,0.000778488,0.122765845,0.051565745,Ba1 Sn1 O3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.80704,12.8,48,1.55,2.55,2,2.8,2,0,0.294117647
